"id","name","description","address","phone","country_code","createddate","updateddate"
1,"A1",,,,,,
2,"A2",,,,,,
3,"A3",,,,,,
4,"A4",,,,,,
5,"CLIENT-5","CLIENT-5","address1","898982898","IND",,
6,"CLIENT-6","CLIENT-6","address1","898982898","IND",,
7,"CLIENT-7","CLIENT-7","address1","898982898","IND",,
8,"CLIENT-8","CLIENT-8","address2","909090909090","IND",,
9,"CLIENT-5","CLIENT-5","address2","909090909090","IND",,
10,"A4",,,,,"2017-08-07","2017-08-07 19:10:22"
11,"A4",,,,,"2017-08-07","2017-08-07 19:06:30"
12,"CLIENT-5","CLIENT-5","address2","909090909090","IND",,
